uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_eur,scholarship_amount_eur,after_scholarship_fee_eur,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form
University of Münster,https://www.uni-muenster.de,Münster,Germany,51.9606,7.6254,"Schlossplatz 2, 48149 Münster",Münster International Masters Scholarship,https://www.uni-muenster.de/en/internationales/scholarships/,Masters,All Fields,500,9600,0,3.0,2026-07-31,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-muenster.de","",+49 251 83 0,"1.Apply for Münster Masters programme|2.Apply for scholarship via DAAD portal|3.Provide APS certificate|4.Upload transcripts + language certificate|5.Decision within 8 weeks",true,true
TU Dresden,https://www.tu-dresden.de,Dresden,Germany,51.0266,13.7257,"Helmholtzstraße 10, 01069 Dresden",TU Dresden DAAD Excellence Scholarship,https://tu-dresden.de/studium/vor-dem-studium/stipendien,Masters,Engineering|Natural Sciences|Computer Science,500,10800,0,3.3,2026-01-31,"Transcripts|APS Certificate|German B2 or IELTS 6.5|SOP|CV|References","scholarships@tu-dresden.de","",+49 351 463 0,"1.Apply for TU Dresden Masters programme|2.Receive offer|3.Apply for DAAD scholarship via portal|4.Provide APS certificate + language proof|5.DAAD decisions by April 2026",true,true
TU Berlin,https://www.tu.berlin,Berlin,Germany,52.5120,13.3269,"Straße des 17. Juni 135, 10623 Berlin",TU Berlin International Graduate Scholarship,https://www.tu.berlin/en/studying/financing-your-studies/scholarships/,Masters,Engineering|Computer Science|Architecture,500,9600,0,3.3,2026-04-30,"Transcripts|APS Certificate|German B2 or IELTS 6.5|SOP|CV","study@tu-berlin.de","",+49 30 314 0,"1.Apply for TU Berlin Masters|2.Complete scholarship application form|3.Provide APS certificate|4.Upload transcripts + language proof + SOP|5.Decision by June 2026",true,true
University of Tübingen,https://www.uni-tuebingen.de,Tübingen,Germany,48.5216,9.0576,"Geschwister-Scholl-Platz, 72074 Tübingen",Tübingen Graduate Excellence Award,https://www.uni-tuebingen.de/en/scholarships-funding.html,Masters,Medicine|Natural Sciences|Humanities|Social Sciences,500,9600,0,3.0,2026-05-31,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","info@uni-tuebingen.de","",+49 7071 29 0,"1.Apply for Tübingen Masters programme|2.Apply for university or DAAD scholarship|3.Provide APS certificate|4.Upload academic documents|5.Rolling decisions",true,true
Ruhr University Bochum,https://www.ruhr-uni-bochum.de,Bochum,Germany,51.4461,7.2622,"Universitätsstraße 150, 44801 Bochum",RUB International Scholarship,https://www.ruhr-uni-bochum.de/en/academics/scholarships.html,Masters,Engineering|Natural Sciences|Social Sciences,500,9600,0,3.0,2026-06-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@rub.de","",+49 234 32 0,"1.Apply for RUB Masters programme|2.Apply for RUB or DAAD scholarship|3.Provide APS certificate|4.Submit complete academic package|5.Rolling scholarship decisions",true,true
University of Leipzig,https://www.uni-leipzig.de,Leipzig,Germany,51.3397,12.3731,"Ritterstraße 26, 04109 Leipzig",Leipzig International Masters Award,https://www.uni-leipzig.de/en/study/scholarships-and-financial-support/,Masters,All Fields,500,9600,0,3.0,2026-05-31,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-leipzig.de","",+49 341 97 0,"1.Apply for Leipzig Masters programme|2.Apply for scholarship via university or DAAD|3.Provide APS certificate|4.Upload transcripts and language proof|5.Decision within 8 weeks",true,true
Technical University of Hamburg,https://www.tuhh.de,Hamburg,Germany,53.4625,9.9693,"Am Schwarzenberg-Campus 1, 21073 Hamburg",TUHH International Engineering Scholarship,https://www.tuhh.de/tuhh/en/studies/scholarships.html,Masters,Engineering|Computer Science,500,10800,0,3.3,2026-04-15,"Transcripts|APS Certificate|IELTS 6.5 or German B2|SOP|CV|References","international@tuhh.de","",+49 40 42878 0,"1.Apply for TUHH Masters programme|2.Complete scholarship form online|3.Provide APS certificate|4.Submit engineering portfolio + SOP|5.Decision by June 2026",true,true
University of Erlangen-Nuremberg,https://www.fau.de,Erlangen,Germany,49.5975,11.0042,"Schlossplatz 4, 91054 Erlangen",FAU International Masters Scholarship,https://www.fau.eu/admissions/international-students/scholarships/,Masters,Engineering|Medicine|Natural Sciences|Business,500,9600,0,3.2,2026-04-15,"Transcripts|APS Certificate|IELTS 6.0 or German B2|SOP|CV","international@fau.de","",+49 9131 85 0,"1.Apply for FAU Masters programme|2.Apply for FAU or DAAD scholarship|3.Provide APS certificate|4.Upload academic documents|5.Rolling decisions",true,true
University of Regensburg,https://www.uni-regensburg.de,Regensburg,Germany,49.0006,12.0969,"Universitätsstraße 31, 93053 Regensburg",Regensburg International Scholarship,https://www.uni-regensburg.de/en/scholarships/,Masters,All Fields,500,9600,0,3.0,2026-06-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@ur.de","",+49 941 943 0,"1.Apply for Regensburg Masters|2.Apply for scholarship via portal|3.Provide APS certificate|4.Upload transcripts + language proof|5.Rolling scholarship decisions",true,true
University of Potsdam,https://www.uni-potsdam.de,Potsdam,Germany,52.3906,12.9869,"Am Neuen Palais 10, 14469 Potsdam",Potsdam International Masters Award,https://www.uni-potsdam.de/en/international/scholarships,Masters,Natural Sciences|Social Sciences|Economics,500,9600,0,3.0,2026-06-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-potsdam.de","",+49 331 977 0,"1.Apply for Potsdam Masters|2.Apply for university or DAAD scholarship|3.Provide APS certificate|4.Submit academic documents|5.Rolling decisions",true,true
Saarland University,https://www.uni-saarland.de,Saarbrücken,Germany,49.2551,7.0417,"Campus, 66123 Saarbrücken",Saarland International Scholarship,https://www.uni-saarland.de/en/study/scholarships.html,Masters,Computer Science|Engineering|Natural Sciences,500,9600,0,3.0,2026-06-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-saarland.de","",+49 681 302 0,"1.Apply for Saarland Masters|2.Apply for scholarship via portal|3.Provide APS certificate|4.Upload transcripts + language certificate|5.Rolling decisions",true,true
University of Bayreuth,https://www.uni-bayreuth.de,Bayreuth,Germany,49.9290,11.5854,"Universitätsstraße 30, 95447 Bayreuth",Bayreuth Graduate Scholarship,https://www.uni-bayreuth.de/en/academics/scholarships/,Masters,Natural Sciences|Engineering|Business,500,9600,0,3.0,2026-05-31,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-bayreuth.de","",+49 921 55 0,"1.Apply for Bayreuth Masters|2.Complete scholarship application|3.Provide APS certificate|4.Upload documents|5.Rolling decisions",true,true
University of Kiel,https://www.uni-kiel.de,Kiel,Germany,54.3460,10.1162,"Christian-Albrechts-Platz 4, 24118 Kiel",Kiel International Masters Scholarship,https://www.uni-kiel.de/en/study/scholarships/,Masters,All Fields,500,9600,0,3.0,2026-06-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uv.uni-kiel.de","",+49 431 880 0,"1.Apply for Kiel Masters|2.Apply for DAAD or university scholarship|3.Provide APS certificate|4.Upload transcripts + language proof|5.Rolling decisions",true,true
TU Darmstadt,https://www.tu-darmstadt.de,Darmstadt,Germany,49.8772,8.6546,"Karolinenplatz 5, 64289 Darmstadt",TU Darmstadt Excellence Scholarship,https://www.tu-darmstadt.de/studieren/studierende_tu/stipendien/,Masters,Engineering|Computer Science|Mathematics,500,10200,0,3.3,2026-03-31,"Transcripts|APS Certificate|IELTS 6.5 or German B2|SOP|CV|References","international@tu-darmstadt.de","",+49 6151 16 0,"1.Apply for TU Darmstadt Masters|2.Complete excellence scholarship form|3.Provide APS certificate|4.Upload all academic documents|5.Decision by May 2026",true,true
University of Augsburg,https://www.uni-augsburg.de,Augsburg,Germany,48.3345,10.8981,"Universitätsstraße 2, 86159 Augsburg",Augsburg International Masters Award,https://www.uni-augsburg.de/en/studium/stipendien/,Masters,Business|Economics|Computer Science|Law,500,9600,0,3.0,2026-06-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-augsburg.de","",+49 821 598 0,"1.Apply for Augsburg Masters|2.Apply for scholarship|3.Provide APS certificate|4.Upload documents|5.Rolling decisions",true,true
University of Mainz,https://www.uni-mainz.de,Mainz,Germany,49.9929,8.2473,"Saarstraße 21, 55122 Mainz",Mainz International Scholarship,https://www.uni-mainz.de/en/scholarships/,Masters,All Fields,500,9600,0,3.0,2026-06-30,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-mainz.de","",+49 6131 39 0,"1.Apply for Mainz Masters|2.Apply for scholarship|3.Provide APS certificate|4.Upload academic documents|5.Rolling decisions",true,true
DAAD Scholarship (Germany-wide),https://www.daad.de/en/study-and-research-in-germany/scholarships/daad-scholarships/,Berlin,Germany,52.5200,13.4050,"Kennedyallee 50, 53175 Bonn",DAAD Masters Scholarship for Developing Countries,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/,Masters,All Fields,0,15600,0,3.0,2026-10-15,"Transcripts|HEC/IBCC Attestation|IELTS 6.0 or German B1|SOP|CV|2 References|Financial Documents","scholarship@daad.de","",+49 228 882 0,"1.Search for DAAD scholarship in official database at daad.de|2.Create DAAD portal account|3.Select suitable Masters programme in Germany|4.Upload HEC-attested documents + transcripts|5.DAAD selection committee reviews and decides by December",true,true
Hochschule München (Munich University of Applied Sciences),https://www.hm.edu,Munich,Germany,48.1495,11.5676,"Lothstraße 34, 80335 Munich",Munich International Masters Scholarship,https://www.hm.edu/en/studying_at_munich_university_of_applied_sciences/scholarships.html,Masters,Engineering|Business|Computer Science,500,9000,0,3.0,2026-07-31,"Transcripts|APS Certificate|IELTS 6.0 or German B2|SOP|CV","international@hm.edu","",+49 89 1265 0,"1.Apply for HM Masters programme|2.Apply for scholarship via student portal|3.Provide APS certificate|4.Upload academic documents|5.Rolling decisions",true,true
University of Konstanz,https://www.uni-konstanz.de,Konstanz,Germany,47.6966,9.1763,"Universitätsstraße 10, 78457 Konstanz",Konstanz International Excellence Scholarship,https://www.uni-konstanz.de/en/study/scholarships/,Masters,Natural Sciences|Social Sciences|Economics|Law,500,9600,0,3.2,2026-05-31,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|2 References","international@uni-konstanz.de","",+49 7531 88 0,"1.Apply for Konstanz Masters programme|2.Apply for excellence scholarship|3.Provide APS certificate|4.Upload complete academic package|5.Decision by July 2026",true,true
University of Duisburg-Essen,https://www.uni-due.de,Duisburg,Germany,51.4550,7.0101,"Forsthausweg 2, 47057 Duisburg",UDE International Masters Award,https://www.uni-due.de/en/international/scholarships.php,Masters,Engineering|Natural Sciences|Social Sciences,500,9600,0,3.0,2026-07-31,"Transcripts|APS Certificate|German B2 or IELTS 6.0|SOP|CV","international@uni-due.de","",+49 203 379 0,"1.Apply for UDE Masters|2.Apply for scholarship via portal|3.Provide APS certificate|4.Upload academic documents|5.Rolling decisions",true,true
